date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
9-Jun-04,155.27,710.98,37.54,1.25,1131.33,14.78500021,15.54824914,49.59999847,17.40049682,16.03256586,9.073888916
16-Jun-04,154.96,711.45,37.32,1.28,1133.56,15.0449996,15.2131158,49.45000076,17.96552778,16.06376691,8.86749992
23-Jun-04,157.79,720.21,37.57,1.27,1144.06,15.58999991,15.50247308,51.47000122,19.48333043,16.59254759,8.797592688
30-Jun-04,158.51,735.43,37.05,1.31,1140.84,15.66000009,15.50991634,52.45000076,19.8952592,17.02772436,8.654537184
7-Jul-04,153.44,698.26,39.08,1.28,1118.33,15.35500049,13.99195415,51.04999924,19.15219169,15.84699994,9.183240838
14-Jul-04,148.51,680.01,40.97,1.32,1111.47,15.51499987,12.98706605,51.61000061,19.78684121,15.01605843,8.606759645
21-Jul-04,139.67,662.98,40.58,1.33,1093.88,16.09499955,12.52935151,50.68000031,20.19273635,14.10957745,8.319907418
28-Jul-04,135.12,660.49,42.9,1.43,1095.42,15.64499998,12.4665023,49.79999924,19.62172092,14.19989701,8.010925884
4-Aug-04,130.87,661.03,42.83,1.46,1098.63,15.61000037,12.90477129,52.40000153,18.88014893,14.61372563,8.038703831
11-Aug-04,126.57,633.04,44.8,1.42,1075.79,15.7750001,11.6747708,50.75,18.50427684,13.85339774,8.3244443
18-Aug-04,130.12,651.57,47.27,1.46,1095.17,15.93999958,12.22836409,51.99000168,19.75736818,14.75823691,9.11120378
25-Aug-04,134.2,662.32,43.47,1.52,1104.96,15.89999974,12.46701389,52.52000046,20.70964173,15.14414844,9.318509538
1-Sep-04,136.29,655.99,44,1.55,1105.91,16.25000024,12.73031966,53.77000046,20.74430141,14.89946385,9.835092392
8-Sep-04,135.06,654.39,42.77,1.62,1116.27,16.49000025,12.21999043,53.86000061,20.60715826,14.57759755,10.04916691
15-Sep-04,136.7,673.74,43.58,1.64,1120.37,16.38999998,13.08620103,52.52999878,21.09264548,15.61709495,10.03925919
22-Sep-04,134.26,676.92,48.35,1.68,1113.56,16.23000014,12.96473625,53.40000153,21.17742409,15.81415661,10.35666673
29-Sep-04,134.54,676.76,49.51,1.69,1114.8,16.23,13.04479779,54.68000031,22.12246723,15.53498599,10.33045373
6-Oct-04,143.21,704.57,52.02,1.68,1142.05,16.558503,13.95083006,55.27000046,22.99644455,16.38234909,11.1512033
13-Oct-04,142.4,679.74,53.64,1.69,1113.65,16.39587752,13.71887923,52.86999893,22.21821785,15.94553049,12.88796296
20-Oct-04,143.16,686.76,54.92,1.79,1103.66,16.1356776,13.65789095,52.52000046,21.91650252,16.41190862,12.51185241
27-Oct-04,143.73,709.62,52.46,1.88,1125.4,16.60729029,14.44087663,53.79999924,22.49450011,16.97353224,12.2748145
3-Nov-04,143.36,721.89,50.88,1.92,1143.2,16.80244056,14.18966606,53.09999847,21.84468944,17.12132842,12.27555588
10-Nov-04,146.84,728.94,48.86,2.04,1162.91,16.84472301,14.27572885,55,21.96891599,17.39392948,12.69601883
17-Nov-04,152.29,752.05,46.84,2.09,1181.94,16.66583541,14.67022234,55.97999954,22.16585418,18.73066083,12.696
24-Nov-04,155.54,755.3,49.44,2.14,1181.76,17.4757093,14.71209071,56.95999908,22.45659752,18.43342712,13.85645995
1-Dec-04,159.23,769.61,45.49,2.18,1191.37,17.89528204,15.10751441,58.00999832,23.54352138,18.63377226,14.44414534
8-Dec-04,151.71,764.68,41.94,2.2,1182.81,16.96506643,14.16035834,57.02999878,22.88897416,18.49583007,13.35632932
15-Dec-04,158.13,777.26,44.19,2.17,1205.72,17.20249907,14.78838409,57.81999969,23.71741931,19.68476516,14.02901451
22-Dec-04,157.31,772.89,44.24,2.15,1209.57,17.56352654,14.8757961,58.86999893,23.52731397,19.28900105,13.94343683
29-Dec-04,163.43,778.61,43.64,2.19,1213.45,17.55051669,15.30029508,58.65000153,24.00457273,19.48441978,14.53719014
5-Jan-05,154.97,747.21,43.39,2.29,1183.74,17.20575165,13.90496083,56.99000168,22.60645862,17.84881227,13.42007347
12-Jan-05,152.99,741.24,46.37,2.3,1187.7,17.4757093,13.4370583,57.38000107,22.26803831,17.77655682,13.63864294
